root_note_name,mode,midi_program_num,play_style_name,midi_program_name,path,sampling_rate,play_style,midi_category,name,mode_idx,fold,set_type
C,ionian,0,UP,Acoustic Grand Piano,C_ionian_UP_0_Acoustic_Grand_Piano.wav,44100,0,Piano Timbres,C_ionian_UP_0_Acoustic_Grand_Piano,0,13,train
C,ionian,1,UP,Bright Acoustic Piano,C_ionian_UP_1_Bright_Acoustic_Piano.wav,44100,0,Piano Timbres,C_ionian_UP_1_Bright_Acoustic_Piano,0,11,train
C,ionian,2,UP,Electric Grand Piano,C_ionian_UP_2_Electric_Grand_Piano.wav,44100,0,Piano Timbres,C_ionian_UP_2_Electric_Grand_Piano,0,5,train
C,ionian,3,UP,Honky-tonk Piano,C_ionian_UP_3_Honky-tonk_Piano.wav,44100,0,Piano Timbres,C_ionian_UP_3_Honky-tonk_Piano,0,2,train
C,ionian,4,UP,Rhodes Piano,C_ionian_UP_4_Rhodes_Piano.wav,44100,0,Piano Timbres,C_ionian_UP_4_Rhodes_Piano,0,6,train
C,ionian,5,UP,Chorused Piano,C_ionian_UP_5_Chorused_Piano.wav,44100,0,Piano Timbres,C_ionian_UP_5_Chorused_Piano,0,8,train
C,ionian,6,UP,Harpsichord,C_ionian_UP_6_Harpsichord.wav,44100,0,Piano Timbres,C_ionian_UP_6_Harpsichord,0,9,train
C,ionian,7,UP,Clavinet,C_ionian_UP_7_Clavinet.wav,44100,0,Piano Timbres,C_ionian_UP_7_Clavinet,0,16,valid
C,ionian,10,UP,Music Box,C_ionian_UP_10_Music_Box.wav,44100,0,Chromatic Percussion,C_ionian_UP_10_Music_Box,0,15,valid
C,ionian,11,UP,Vibraphone,C_ionian_UP_11_Vibraphone.wav,44100,0,Chromatic Percussion,C_ionian_UP_11_Vibraphone,0,7,train
C,ionian,12,UP,Marimba,C_ionian_UP_12_Marimba.wav,44100,0,Chromatic Percussion,C_ionian_UP_12_Marimba,0,12,train
C,ionian,13,UP,Xylophone,C_ionian_UP_13_Xylophone.wav,44100,0,Chromatic Percussion,C_ionian_UP_13_Xylophone,0,2,train
C,ionian,15,UP,Dulcimer,C_ionian_UP_15_Dulcimer.wav,44100,0,Chromatic Percussion,C_ionian_UP_15_Dulcimer,0,9,train
C,ionian,16,UP,Hammond Organ,C_ionian_UP_16_Hammond_Organ.wav,44100,0,Organ Timbres,C_ionian_UP_16_Hammond_Organ,0,2,train
C,ionian,17,UP,Percussive Organ,C_ionian_UP_17_Percussive_Organ.wav,44100,0,Organ Timbres,C_ionian_UP_17_Percussive_Organ,0,5,train
C,ionian,18,UP,Rock Organ,C_ionian_UP_18_Rock_Organ.wav,44100,0,Organ Timbres,C_ionian_UP_18_Rock_Organ,0,16,valid
C,ionian,19,UP,Church Organ,C_ionian_UP_19_Church_Organ.wav,44100,0,Organ Timbres,C_ionian_UP_19_Church_Organ,0,8,train
C,ionian,20,UP,Reed Organ,C_ionian_UP_20_Reed_Organ.wav,44100,0,Organ Timbres,C_ionian_UP_20_Reed_Organ,0,18,test
C,ionian,24,UP,Acoustic Nylon Guitar,C_ionian_UP_24_Acoustic_Nylon_Guitar.wav,44100,0,Guitar Timbres,C_ionian_UP_24_Acoustic_Nylon_Guitar,0,4,train
C,ionian,25,UP,Acoustic Steel Guitar,C_ionian_UP_25_Acoustic_Steel_Guitar.wav,44100,0,Guitar Timbres,C_ionian_UP_25_Acoustic_Steel_Guitar,0,19,test
