name,inst,root,pitch,octave,quality,quality_idx,inv,bpm,fold,set_type
AcousticGrandPiano-c4-major7_inv0,AcousticGrandPiano,c4,c,4,major7,0,0,60,2,train
AcousticGrandPiano-c4-major7_inv1,AcousticGrandPiano,c4,c,4,major7,0,1,60,5,train
AcousticGrandPiano-c3-major7_inv2,AcousticGrandPiano,c3,c,3,major7,0,2,60,19,test
AcousticGrandPiano-c3-major7_inv3,AcousticGrandPiano,c3,c,3,major7,0,3,60,8,train
AcousticGrandPiano-cs4-major7_inv0,AcousticGrandPiano,cs4,cs,4,major7,0,0,60,19,test
AcousticGrandPiano-cs4-major7_inv1,AcousticGrandPiano,cs4,cs,4,major7,0,1,60,5,train
AcousticGrandPiano-cs3-major7_inv2,AcousticGrandPiano,cs3,cs,3,major7,0,2,60,11,train
AcousticGrandPiano-cs3-major7_inv3,AcousticGrandPiano,cs3,cs,3,major7,0,3,60,9,train
AcousticGrandPiano-d4-major7_inv0,AcousticGrandPiano,d4,d,4,major7,0,0,60,16,valid
AcousticGrandPiano-d3-major7_inv1,AcousticGrandPiano,d3,d,3,major7,0,1,60,3,train
AcousticGrandPiano-d3-major7_inv2,AcousticGrandPiano,d3,d,3,major7,0,2,60,3,train
AcousticGrandPiano-d3-major7_inv3,AcousticGrandPiano,d3,d,3,major7,0,3,60,9,train
AcousticGrandPiano-ds4-major7_inv0,AcousticGrandPiano,ds4,ds,4,major7,0,0,60,20,test
AcousticGrandPiano-ds3-major7_inv1,AcousticGrandPiano,ds3,ds,3,major7,0,1,60,2,train
AcousticGrandPiano-ds3-major7_inv2,AcousticGrandPiano,ds3,ds,3,major7,0,2,60,8,train
AcousticGrandPiano-ds3-major7_inv3,AcousticGrandPiano,ds3,ds,3,major7,0,3,60,10,train
AcousticGrandPiano-e4-major7_inv0,AcousticGrandPiano,e4,e,4,major7,0,0,60,20,test
AcousticGrandPiano-e3-major7_inv1,AcousticGrandPiano,e3,e,3,major7,0,1,60,2,train
AcousticGrandPiano-e3-major7_inv2,AcousticGrandPiano,e3,e,3,major7,0,2,60,12,train
AcousticGrandPiano-e3-major7_inv3,AcousticGrandPiano,e3,e,3,major7,0,3,60,20,test
AcousticGrandPiano-f4-major7_inv0,AcousticGrandPiano,f4,f,4,major7,0,0,60,8,train
AcousticGrandPiano-f3-major7_inv1,AcousticGrandPiano,f3,f,3,major7,0,1,60,19,test
AcousticGrandPiano-f3-major7_inv2,AcousticGrandPiano,f3,f,3,major7,0,2,60,7,train
AcousticGrandPiano-f3-major7_inv3,AcousticGrandPiano,f3,f,3,major7,0,3,60,2,train
AcousticGrandPiano-fs3-major7_inv0,AcousticGrandPiano,fs3,fs,3,major7,0,0,60,11,train
AcousticGrandPiano-fs3-major7_inv1,AcousticGrandPiano,fs3,fs,3,major7,0,1,60,14,train
AcousticGrandPiano-fs3-major7_inv2,AcousticGrandPiano,fs3,fs,3,major7,0,2,60,19,test
AcousticGrandPiano-fs3-major7_inv3,AcousticGrandPiano,fs3,fs,3,major7,0,3,60,11,train
AcousticGrandPiano-g3-major7_inv0,AcousticGrandPiano,g3,g,3,major7,0,0,60,12,train
AcousticGrandPiano-g3-major7_inv1,AcousticGrandPiano,g3,g,3,major7,0,1,60,4,train
AcousticGrandPiano-g3-major7_inv2,AcousticGrandPiano,g3,g,3,major7,0,2,60,15,valid
AcousticGrandPiano-g3-major7_inv3,AcousticGrandPiano,g3,g,3,major7,0,3,60,12,train
AcousticGrandPiano-gs3-major7_inv0,AcousticGrandPiano,gs3,gs,3,major7,0,0,60,8,train
AcousticGrandPiano-gs3-major7_inv1,AcousticGrandPiano,gs3,gs,3,major7,0,1,60,6,train
AcousticGrandPiano-gs3-major7_inv2,AcousticGrandPiano,gs3,gs,3,major7,0,2,60,1,train
AcousticGrandPiano-gs3-major7_inv3,AcousticGrandPiano,gs3,gs,3,major7,0,3,60,19,test
AcousticGrandPiano-a3-major7_inv0,AcousticGrandPiano,a3,a,3,major7,0,0,60,8,train
AcousticGrandPiano-a3-major7_inv1,AcousticGrandPiano,a3,a,3,major7,0,1,60,18,test
AcousticGrandPiano-a3-major7_inv2,AcousticGrandPiano,a3,a,3,major7,0,2,60,20,test
AcousticGrandPiano-a3-major7_inv3,AcousticGrandPiano,a3,a,3,major7,0,3,60,4,train
AcousticGrandPiano-as3-major7_inv0,AcousticGrandPiano,as3,as,3,major7,0,0,60,9,train
AcousticGrandPiano-as3-major7_inv1,AcousticGrandPiano,as3,as,3,major7,0,1,60,20,test
AcousticGrandPiano-as3-major7_inv2,AcousticGrandPiano,as3,as,3,major7,0,2,60,3,train
AcousticGrandPiano-as3-major7_inv3,AcousticGrandPiano,as3,as,3,major7,0,3,60,10,train
AcousticGrandPiano-b3-major7_inv0,AcousticGrandPiano,b3,b,3,major7,0,0,60,10,train
AcousticGrandPiano-b3-major7_inv1,AcousticGrandPiano,b3,b,3,major7,0,1,60,5,train
AcousticGrandPiano-b3-major7_inv2,AcousticGrandPiano,b3,b,3,major7,0,2,60,13,train
AcousticGrandPiano-b3-major7_inv3,AcousticGrandPiano,b3,b,3,major7,0,3,60,6,train
AcousticGrandPiano-c4-minor7_inv0,AcousticGrandPiano,c4,c,4,minor7,1,0,60,11,train
AcousticGrandPiano-c4-minor7_inv1,AcousticGrandPiano,c4,c,4,minor7,1,1,60,1,train
AcousticGrandPiano-c3-minor7_inv2,AcousticGrandPiano,c3,c,3,minor7,1,2,60,12,train
AcousticGrandPiano-c3-minor7_inv3,AcousticGrandPiano,c3,c,3,minor7,1,3,60,14,train
AcousticGrandPiano-cs4-minor7_inv0,AcousticGrandPiano,cs4,cs,4,minor7,1,0,60,7,train
AcousticGrandPiano-cs4-minor7_inv1,AcousticGrandPiano,cs4,cs,4,minor7,1,1,60,10,train
AcousticGrandPiano-cs3-minor7_inv2,AcousticGrandPiano,cs3,cs,3,minor7,1,2,60,17,valid
AcousticGrandPiano-cs3-minor7_inv3,AcousticGrandPiano,cs3,cs,3,minor7,1,3,60,14,train
AcousticGrandPiano-d4-minor7_inv0,AcousticGrandPiano,d4,d,4,minor7,1,0,60,3,train
AcousticGrandPiano-d4-minor7_inv1,AcousticGrandPiano,d4,d,4,minor7,1,1,60,9,train
AcousticGrandPiano-d3-minor7_inv2,AcousticGrandPiano,d3,d,3,minor7,1,2,60,15,valid
AcousticGrandPiano-d3-minor7_inv3,AcousticGrandPiano,d3,d,3,minor7,1,3,60,3,train
AcousticGrandPiano-ds4-minor7_inv0,AcousticGrandPiano,ds4,ds,4,minor7,1,0,60,20,test
AcousticGrandPiano-ds3-minor7_inv1,AcousticGrandPiano,ds3,ds,3,minor7,1,1,60,16,valid
AcousticGrandPiano-ds3-minor7_inv2,AcousticGrandPiano,ds3,ds,3,minor7,1,2,60,10,train
AcousticGrandPiano-ds3-minor7_inv3,AcousticGrandPiano,ds3,ds,3,minor7,1,3,60,12,train
AcousticGrandPiano-e4-minor7_inv0,AcousticGrandPiano,e4,e,4,minor7,1,0,60,3,train
AcousticGrandPiano-e3-minor7_inv1,AcousticGrandPiano,e3,e,3,minor7,1,1,60,13,train
AcousticGrandPiano-e3-minor7_inv2,AcousticGrandPiano,e3,e,3,minor7,1,2,60,19,test
AcousticGrandPiano-e3-minor7_inv3,AcousticGrandPiano,e3,e,3,minor7,1,3,60,8,train
AcousticGrandPiano-f4-minor7_inv0,AcousticGrandPiano,f4,f,4,minor7,1,0,60,18,test
AcousticGrandPiano-f3-minor7_inv1,AcousticGrandPiano,f3,f,3,minor7,1,1,60,8,train
AcousticGrandPiano-f3-minor7_inv2,AcousticGrandPiano,f3,f,3,minor7,1,2,60,13,train
AcousticGrandPiano-f3-minor7_inv3,AcousticGrandPiano,f3,f,3,minor7,1,3,60,2,train
AcousticGrandPiano-fs3-minor7_inv0,AcousticGrandPiano,fs3,fs,3,minor7,1,0,60,13,train
AcousticGrandPiano-fs3-minor7_inv1,AcousticGrandPiano,fs3,fs,3,minor7,1,1,60,11,train
AcousticGrandPiano-fs3-minor7_inv2,AcousticGrandPiano,fs3,fs,3,minor7,1,2,60,6,train
AcousticGrandPiano-fs3-minor7_inv3,AcousticGrandPiano,fs3,fs,3,minor7,1,3,60,10,train
AcousticGrandPiano-g3-minor7_inv0,AcousticGrandPiano,g3,g,3,minor7,1,0,60,10,train
AcousticGrandPiano-g3-minor7_inv1,AcousticGrandPiano,g3,g,3,minor7,1,1,60,19,test
AcousticGrandPiano-g3-minor7_inv2,AcousticGrandPiano,g3,g,3,minor7,1,2,60,16,valid
AcousticGrandPiano-g3-minor7_inv3,AcousticGrandPiano,g3,g,3,minor7,1,3,60,12,train
AcousticGrandPiano-gs3-minor7_inv0,AcousticGrandPiano,gs3,gs,3,minor7,1,0,60,19,test
AcousticGrandPiano-gs3-minor7_inv1,AcousticGrandPiano,gs3,gs,3,minor7,1,1,60,17,valid
AcousticGrandPiano-gs3-minor7_inv2,AcousticGrandPiano,gs3,gs,3,minor7,1,2,60,6,train
AcousticGrandPiano-gs3-minor7_inv3,AcousticGrandPiano,gs3,gs,3,minor7,1,3,60,2,train
AcousticGrandPiano-a3-minor7_inv0,AcousticGrandPiano,a3,a,3,minor7,1,0,60,14,train
AcousticGrandPiano-a3-minor7_inv1,AcousticGrandPiano,a3,a,3,minor7,1,1,60,2,train
AcousticGrandPiano-a3-minor7_inv2,AcousticGrandPiano,a3,a,3,minor7,1,2,60,15,valid
AcousticGrandPiano-a3-minor7_inv3,AcousticGrandPiano,a3,a,3,minor7,1,3,60,12,train
AcousticGrandPiano-as3-minor7_inv0,AcousticGrandPiano,as3,as,3,minor7,1,0,60,10,train
AcousticGrandPiano-as3-minor7_inv1,AcousticGrandPiano,as3,as,3,minor7,1,1,60,4,train
AcousticGrandPiano-as3-minor7_inv2,AcousticGrandPiano,as3,as,3,minor7,1,2,60,4,train
AcousticGrandPiano-as3-minor7_inv3,AcousticGrandPiano,as3,as,3,minor7,1,3,60,9,train
AcousticGrandPiano-b3-minor7_inv0,AcousticGrandPiano,b3,b,3,minor7,1,0,60,19,test
AcousticGrandPiano-b3-minor7_inv1,AcousticGrandPiano,b3,b,3,minor7,1,1,60,6,train
AcousticGrandPiano-b3-minor7_inv2,AcousticGrandPiano,b3,b,3,minor7,1,2,60,16,valid
AcousticGrandPiano-b3-minor7_inv3,AcousticGrandPiano,b3,b,3,minor7,1,3,60,3,train
AcousticGrandPiano-c4-majorminor7_inv0,AcousticGrandPiano,c4,c,4,majorminor7,2,0,60,20,test
AcousticGrandPiano-c4-majorminor7_inv1,AcousticGrandPiano,c4,c,4,majorminor7,2,1,60,17,valid
AcousticGrandPiano-c3-majorminor7_inv2,AcousticGrandPiano,c3,c,3,majorminor7,2,2,60,10,train
AcousticGrandPiano-c3-majorminor7_inv3,AcousticGrandPiano,c3,c,3,majorminor7,2,3,60,4,train
AcousticGrandPiano-cs4-majorminor7_inv0,AcousticGrandPiano,cs4,cs,4,majorminor7,2,0,60,16,valid
AcousticGrandPiano-cs4-majorminor7_inv1,AcousticGrandPiano,cs4,cs,4,majorminor7,2,1,60,18,test
AcousticGrandPiano-cs3-majorminor7_inv2,AcousticGrandPiano,cs3,cs,3,majorminor7,2,2,60,1,train
AcousticGrandPiano-cs3-majorminor7_inv3,AcousticGrandPiano,cs3,cs,3,majorminor7,2,3,60,8,train
AcousticGrandPiano-d4-majorminor7_inv0,AcousticGrandPiano,d4,d,4,majorminor7,2,0,60,15,valid
AcousticGrandPiano-d3-majorminor7_inv1,AcousticGrandPiano,d3,d,3,majorminor7,2,1,60,10,train
