chord_progression,midi_program_num,midi_program_name,path,midi_category,key_note_name,sampling_rate,key_note_pitch_class,name,is_major,orig_prog,inv,bpm,fold,set_type
"ionian-(1, 4, 5, 1)",0,Acoustic Grand Piano,C_ionian_1-4-5-1_0_Acoustic_Grand_Piano.wav,Piano Timbres,C,44100,0,C_ionian_1-4-5-1_0_Acoustic_Grand_Piano,true,maj-1451,0,60,14,train
"ionian-(1, 4, 5, 1)",1,Bright Acoustic Piano,C_ionian_1-4-5-1_1_Bright_Acoustic_Piano.wav,Piano Timbres,C,44100,0,C_ionian_1-4-5-1_1_Bright_Acoustic_Piano,true,maj-1451,0,60,13,train
"ionian-(1, 4, 5, 1)",2,Electric Grand Piano,C_ionian_1-4-5-1_2_Electric_Grand_Piano.wav,Piano Timbres,C,44100,0,C_ionian_1-4-5-1_2_Electric_Grand_Piano,true,maj-1451,0,60,1,train
"ionian-(1, 4, 5, 1)",3,Honky-tonk Piano,C_ionian_1-4-5-1_3_Honky-tonk_Piano.wav,Piano Timbres,C,44100,0,C_ionian_1-4-5-1_3_Honky-tonk_Piano,true,maj-1451,0,60,16,valid
"ionian-(1, 4, 5, 1)",4,Rhodes Piano,C_ionian_1-4-5-1_4_Rhodes_Piano.wav,Piano Timbres,C,44100,0,C_ionian_1-4-5-1_4_Rhodes_Piano,true,maj-1451,0,60,16,valid
"ionian-(1, 4, 5, 1)",5,Chorused Piano,C_ionian_1-4-5-1_5_Chorused_Piano.wav,Piano Timbres,C,44100,0,C_ionian_1-4-5-1_5_Chorused_Piano,true,maj-1451,0,60,9,train
"ionian-(1, 4, 5, 1)",6,Harpsichord,C_ionian_1-4-5-1_6_Harpsichord.wav,Piano Timbres,C,44100,0,C_ionian_1-4-5-1_6_Harpsichord,true,maj-1451,0,60,1,train
"ionian-(1, 4, 5, 1)",7,Clavinet,C_ionian_1-4-5-1_7_Clavinet.wav,Piano Timbres,C,44100,0,C_ionian_1-4-5-1_7_Clavinet,true,maj-1451,0,60,20,test
"ionian-(1, 4, 5, 1)",10,Music Box,C_ionian_1-4-5-1_10_Music_Box.wav,Chromatic Percussion,C,44100,0,C_ionian_1-4-5-1_10_Music_Box,true,maj-1451,0,60,14,train
"ionian-(1, 4, 5, 1)",11,Vibraphone,C_ionian_1-4-5-1_11_Vibraphone.wav,Chromatic Percussion,C,44100,0,C_ionian_1-4-5-1_11_Vibraphone,true,maj-1451,0,60,13,train
"ionian-(1, 4, 5, 1)",12,Marimba,C_ionian_1-4-5-1_12_Marimba.wav,Chromatic Percussion,C,44100,0,C_ionian_1-4-5-1_12_Marimba,true,maj-1451,0,60,18,test
"ionian-(1, 4, 5, 1)",13,Xylophone,C_ionian_1-4-5-1_13_Xylophone.wav,Chromatic Percussion,C,44100,0,C_ionian_1-4-5-1_13_Xylophone,true,maj-1451,0,60,11,train
"ionian-(1, 4, 5, 1)",15,Dulcimer,C_ionian_1-4-5-1_15_Dulcimer.wav,Chromatic Percussion,C,44100,0,C_ionian_1-4-5-1_15_Dulcimer,true,maj-1451,0,60,9,train
