sampling_rate,midi_note_val,root_note_name,midi_category,path,register,root_note_pitch_class,octave,root_note_is_accidental,midi_program_name,midi_program_num,name,fold,set_type
44100,0,C,Piano Timbres,0_0_C_0_Acoustic_Grand_Piano.wav,0,0,0,false,Acoustic Grand Piano,0,0_0_C_0_Acoustic_Grand_Piano,20,test
44100,0,C,Piano Timbres,0_0_C_1_Bright_Acoustic_Piano.wav,0,0,0,false,Bright Acoustic Piano,1,0_0_C_1_Bright_Acoustic_Piano,19,test
44100,0,C,Piano Timbres,0_0_C_2_Electric_Grand_Piano.wav,0,0,0,false,Electric Grand Piano,2,0_0_C_2_Electric_Grand_Piano,8,train
44100,0,C,Piano Timbres,0_0_C_3_Honky-tonk_Piano.wav,0,0,0,false,Honky-tonk Piano,3,0_0_C_3_Honky-tonk_Piano,7,train
44100,0,C,Piano Timbres,0_0_C_4_Rhodes_Piano.wav,0,0,0,false,Rhodes Piano,4,0_0_C_4_Rhodes_Piano,20,test
44100,0,C,Piano Timbres,0_0_C_5_Chorused_Piano.wav,0,0,0,false,Chorused Piano,5,0_0_C_5_Chorused_Piano,20,test
44100,0,C,Piano Timbres,0_0_C_6_Harpsichord.wav,0,0,0,false,Harpsichord,6,0_0_C_6_Harpsichord,13,train
44100,0,C,Piano Timbres,0_0_C_7_Clavinet.wav,0,0,0,false,Clavinet,7,0_0_C_7_Clavinet,5,train
44100,0,C,Chromatic Percussion,0_0_C_10_Music_Box.wav,0,0,0,false,Music Box,10,0_0_C_10_Music_Box,14,train
44100,0,C,Chromatic Percussion,0_0_C_11_Vibraphone.wav,0,0,0,false,Vibraphone,11,0_0_C_11_Vibraphone,19,test
44100,0,C,Chromatic Percussion,0_0_C_12_Marimba.wav,0,0,0,false,Marimba,12,0_0_C_12_Marimba,16,valid
44100,0,C,Chromatic Percussion,0_0_C_13_Xylophone.wav,0,0,0,false,Xylophone,13,0_0_C_13_Xylophone,6,train
44100,0,C,Chromatic Percussion,0_0_C_15_Dulcimer.wav,0,0,0,false,Dulcimer,15,0_0_C_15_Dulcimer,10,train
44100,0,C,Organ Timbres,0_0_C_16_Hammond_Organ.wav,0,0,0,false,Hammond Organ,16,0_0_C_16_Hammond_Organ,13,train
44100,0,C,Organ Timbres,0_0_C_17_Percussive_Organ.wav,0,0,0,false,Percussive Organ,17,0_0_C_17_Percussive_Organ,17,valid
