sampling_rate,midi_note_val,midi_program_name,midi_program_num,interval,play_style_name,midi_category,path,root_note_pitch_class,root_note_name,play_style,name,interval_idx,fold,set_type
44100,60,Acoustic Grand Piano,0,1,UP,Piano Timbres,C_1_UP_0_Acoustic_Grand_Piano.wav,0,C,0,C_1_UP_0_Acoustic_Grand_Piano,0,12,train
44100,60,Bright Acoustic Piano,1,1,UP,Piano Timbres,C_1_UP_1_Bright_Acoustic_Piano.wav,0,C,0,C_1_UP_1_Bright_Acoustic_Piano,0,11,train
44100,60,Electric Grand Piano,2,1,UP,Piano Timbres,C_1_UP_2_Electric_Grand_Piano.wav,0,C,0,C_1_UP_2_Electric_Grand_Piano,0,10,train
44100,60,Honky-tonk Piano,3,1,UP,Piano Timbres,C_1_UP_3_Honky-tonk_Piano.wav,0,C,0,C_1_UP_3_Honky-tonk_Piano,0,3,train
44100,60,Rhodes Piano,4,1,UP,Piano Timbres,C_1_UP_4_Rhodes_Piano.wav,0,C,0,C_1_UP_4_Rhodes_Piano,0,3,train
44100,60,Chorused Piano,5,1,UP,Piano Timbres,C_1_UP_5_Chorused_Piano.wav,0,C,0,C_1_UP_5_Chorused_Piano,0,9,train
44100,60,Harpsichord,6,1,UP,Piano Timbres,C_1_UP_6_Harpsichord.wav,0,C,0,C_1_UP_6_Harpsichord,0,18,test
44100,60,Clavinet,7,1,UP,Piano Timbres,C_1_UP_7_Clavinet.wav,0,C,0,C_1_UP_7_Clavinet,0,16,valid
44100,60,Music Box,10,1,UP,Chromatic Percussion,C_1_UP_10_Music_Box.wav,0,C,0,C_1_UP_10_Music_Box,0,7,train
44100,60,Vibraphone,11,1,UP,Chromatic Percussion,C_1_UP_11_Vibraphone.wav,0,C,0,C_1_UP_11_Vibraphone,0,5,train
44100,60,Marimba,12,1,UP,Chromatic Percussion,C_1_UP_12_Marimba.wav,0,C,0,C_1_UP_12_Marimba,0,18,test
44100,60,Xylophone,13,1,UP,Chromatic Percussion,C_1_UP_13_Xylophone.wav,0,C,0,C_1_UP_13_Xylophone,0,20,test
44100,60,Dulcimer,15,1,UP,Chromatic Percussion,C_1_UP_15_Dulcimer.wav,0,C,0,C_1_UP_15_Dulcimer,0,14,train
