bpm,path,reverb_level,offset_time,click_config_name,sampling_rate,midi_program_num,is_compound,time_signature_beats,time_signature_subdivision,time_signature,name,fold,set_type
120,2_2_120_bpm_default_reverb_level_0_offset_0.wav,0,0.3163,default,44100,0,0,2,2,"(2, 2)",2_2_120_bpm_default_reverb_level_0_offset_0,11,train
120,2_2_120_bpm_default_reverb_level_0_offset_1.wav,0,1.0973,default,44100,0,0,2,2,"(2, 2)",2_2_120_bpm_default_reverb_level_0_offset_1,18,test
120,2_2_120_bpm_default_reverb_level_0_offset_2.wav,0,0.841,default,44100,0,0,2,2,"(2, 2)",2_2_120_bpm_default_reverb_level_0_offset_2,15,valid
120,2_2_120_bpm_default_reverb_level_0_offset_3.wav,0,1.2844,default,44100,0,0,2,2,"(2, 2)",2_2_120_bpm_default_reverb_level_0_offset_3,6,train
120,2_2_120_bpm_default_reverb_level_0_offset_4.wav,0,0.9103,default,44100,0,0,2,2,"(2, 2)",2_2_120_bpm_default_reverb_level_0_offset_4,15,valid
120,2_2_120_bpm_default_reverb_level_0_offset_5.wav,0,0.8399,default,44100,0,0,2,2,"(2, 2)",2_2_120_bpm_default_reverb_level_0_offset_5,8,train
120,2_2_120_bpm_default_reverb_level_0_offset_6.wav,0,1.1163,default,44100,0,0,2,2,"(2, 2)",2_2_120_bpm_default_reverb_level_0_offset_6,1,train
120,2_2_120_bpm_default_reverb_level_0_offset_7.wav,0,0.8367,default,44100,0,0,2,2,"(2, 2)",2_2_120_bpm_default_reverb_level_0_offset_7,9,train
120,2_2_120_bpm_default_reverb_level_0_offset_8.wav,0,0.1891,default,44100,0,0,2,2,"(2, 2)",2_2_120_bpm_default_reverb_level_0_offset_8,4,train
120,2_2_120_bpm_default_reverb_level_0_offset_9.wav,0,1.905,default,44100,0,0,2,2,"(2, 2)",2_2_120_bpm_default_reverb_level_0_offset_9,11,train
120,2_2_120_bpm_woodblock_dark_reverb_level_0_offset_0.wav,0,1.4531,woodblock_dark,44100,115,0,2,2,"(2, 2)",2_2_120_bpm_woodblock_dark_reverb_level_0_offset_0,9,train
120,2_2_120_bpm_woodblock_dark_reverb_level_0_offset_1.wav,0,0.3236,woodblock_dark,44100,115,0,2,2,"(2, 2)",2_2_120_bpm_woodblock_dark_reverb_level_0_offset_1,18,test
120,2_2_120_bpm_woodblock_dark_reverb_level_0_offset_2.wav,0,0.6353,woodblock_dark,44100,115,0,2,2,"(2, 2)",2_2_120_bpm_woodblock_dark_reverb_level_0_offset_2,14,train
120,2_2_120_bpm_woodblock_dark_reverb_level_0_offset_3.wav,0,1.204,woodblock_dark,44100,115,0,2,2,"(2, 2)",2_2_120_bpm_woodblock_dark_reverb_level_0_offset_3,14,train
120,2_2_120_bpm_woodblock_dark_reverb_level_0_offset_4.wav,0,0.0622,woodblock_dark,44100,115,0,2,2,"(2, 2)",2_2_120_bpm_woodblock_dark_reverb_level_0_offset_4,4,train
