name,dyn1,dyn2,dyn_pair,inst,inflection_point,dyn_category,dyn_subcategory,rvb_lvl,rvb_val,offset_lvl,offset_ms,beats_per_bar,num_bars,beat_subdiv,bpm,num_beats,fold,set_type
flat_pp-pp_Agogo_beat4-2_rvb0_off0,pp,pp,pp-pp,Agogo,0,flat,flat,0,0,0,0,4,1,2,60,4,20,test
flat_pp-pp_Woodblock_beat4-2_rvb0_off0,pp,pp,pp-pp,Woodblock,0,flat,flat,0,0,0,0,4,1,2,60,4,5,train
flat_pp-pp_TaikoDrum_beat4-2_rvb0_off0,pp,pp,pp-pp,TaikoDrum,0,flat,flat,0,0,0,0,4,1,2,60,4,6,train
flat_pp-pp_MelodicTom_beat4-2_rvb0_off0,pp,pp,pp-pp,MelodicTom,0,flat,flat,0,0,0,0,4,1,2,60,4,19,test
flat_pp-pp_DSnareDrum1_beat4-2_rvb0_off0,pp,pp,pp-pp,DSnareDrum1,0,flat,flat,0,0,0,0,4,1,2,60,4,11,train
flat_p-p_Agogo_beat4-2_rvb0_off0,p,p,p-p,Agogo,0,flat,flat,0,0,0,0,4,1,2,60,4,5,train
flat_p-p_Woodblock_beat4-2_rvb0_off0,p,p,p-p,Woodblock,0,flat,flat,0,0,0,0,4,1,2,60,4,19,test
flat_p-p_TaikoDrum_beat4-2_rvb0_off0,p,p,p-p,TaikoDrum,0,flat,flat,0,0,0,0,4,1,2,60,4,19,test
flat_p-p_MelodicTom_beat4-2_rvb0_off0,p,p,p-p,MelodicTom,0,flat,flat,0,0,0,0,4,1,2,60,4,8,train
flat_p-p_DSnareDrum1_beat4-2_rvb0_off0,p,p,p-p,DSnareDrum1,0,flat,flat,0,0,0,0,4,1,2,60,4,8,train
flat_mp-mp_Agogo_beat4-2_rvb0_off0,mp,mp,mp-mp,Agogo,0,flat,flat,0,0,0,0,4,1,2,60,4,11,train
flat_mp-mp_Woodblock_beat4-2_rvb0_off0,mp,mp,mp-mp,Woodblock,0,flat,flat,0,0,0,0,4,1,2,60,4,4,train
flat_mp-mp_TaikoDrum_beat4-2_rvb0_off0,mp,mp,mp-mp,TaikoDrum,0,flat,flat,0,0,0,0,4,1,2,60,4,15,valid
flat_mp-mp_MelodicTom_beat4-2_rvb0_off0,mp,mp,mp-mp,MelodicTom,0,flat,flat,0,0,0,0,4,1,2,60,4,5,train
flat_mp-mp_DSnareDrum1_beat4-2_rvb0_off0,mp,mp,mp-mp,DSnareDrum1,0,flat,flat,0,0,0,0,4,1,2,60,4,3,train
flat_mf-mf_Agogo_beat4-2_rvb0_off0,mf,mf,mf-mf,Agogo,0,flat,flat,0,0,0,0,4,1,2,60,4,13,train
flat_mf-mf_Woodblock_beat4-2_rvb0_off0,mf,mf,mf-mf,Woodblock,0,flat,flat,0,0,0,0,4,1,2,60,4,5,train
flat_mf-mf_TaikoDrum_beat4-2_rvb0_off0,mf,mf,mf-mf,TaikoDrum,0,flat,flat,0,0,0,0,4,1,2,60,4,2,train
flat_mf-mf_MelodicTom_beat4-2_rvb0_off0,mf,mf,mf-mf,MelodicTom,0,flat,flat,0,0,0,0,4,1,2,60,4,20,test
flat_mf-mf_DSnareDrum1_beat4-2_rvb0_off0,mf,mf,mf-mf,DSnareDrum1,0,flat,flat,0,0,0,0,4,1,2,60,4,18,test
flat_f-f_Agogo_beat4-2_rvb0_off0,f,f,f-f,Agogo,0,flat,flat,0,0,0,0,4,1,2,60,4,6,train
flat_f-f_Woodblock_beat4-2_rvb0_off0,f,f,f-f,Woodblock,0,flat,flat,0,0,0,0,4,1,2,60,4,15,valid
flat_f-f_TaikoDrum_beat4-2_rvb0_off0,f,f,f-f,TaikoDrum,0,flat,flat,0,0,0,0,4,1,2,60,4,11,train
flat_f-f_MelodicTom_beat4-2_rvb0_off0,f,f,f-f,MelodicTom,0,flat,flat,0,0,0,0,4,1,2,60,4,5,train
flat_f-f_DSnareDrum1_beat4-2_rvb0_off0,f,f,f-f,DSnareDrum1,0,flat,flat,0,0,0,0,4,1,2,60,4,6,train
flat_ff-ff_Agogo_beat4-2_rvb0_off0,ff,ff,ff-ff,Agogo,0,flat,flat,0,0,0,0,4,1,2,60,4,18,test
flat_ff-ff_Woodblock_beat4-2_rvb0_off0,ff,ff,ff-ff,Woodblock,0,flat,flat,0,0,0,0,4,1,2,60,4,2,train
flat_ff-ff_TaikoDrum_beat4-2_rvb0_off0,ff,ff,ff-ff,TaikoDrum,0,flat,flat,0,0,0,0,4,1,2,60,4,15,valid
flat_ff-ff_MelodicTom_beat4-2_rvb0_off0,ff,ff,ff-ff,MelodicTom,0,flat,flat,0,0,0,0,4,1,2,60,4,17,valid
flat_ff-ff_DSnareDrum1_beat4-2_rvb0_off0,ff,ff,ff-ff,DSnareDrum1,0,flat,flat,0,0,0,0,4,1,2,60,4,15,valid
flat_pp-pp_Agogo_beat4-2_rvb1_off0,pp,pp,pp-pp,Agogo,0,flat,flat,1,63,0,0,4,1,2,60,4,15,valid
flat_pp-pp_Woodblock_beat4-2_rvb1_off0,pp,pp,pp-pp,Woodblock,0,flat,flat,1,63,0,0,4,1,2,60,4,12,train
flat_pp-pp_TaikoDrum_beat4-2_rvb1_off0,pp,pp,pp-pp,TaikoDrum,0,flat,flat,1,63,0,0,4,1,2,60,4,19,test
flat_pp-pp_MelodicTom_beat4-2_rvb1_off0,pp,pp,pp-pp,MelodicTom,0,flat,flat,1,63,0,0,4,1,2,60,4,4,train
flat_pp-pp_DSnareDrum1_beat4-2_rvb1_off0,pp,pp,pp-pp,DSnareDrum1,0,flat,flat,1,63,0,0,4,1,2,60,4,4,train
flat_p-p_Agogo_beat4-2_rvb1_off0,p,p,p-p,Agogo,0,flat,flat,1,63,0,0,4,1,2,60,4,1,train
flat_p-p_Woodblock_beat4-2_rvb1_off0,p,p,p-p,Woodblock,0,flat,flat,1,63,0,0,4,1,2,60,4,8,train
flat_p-p_TaikoDrum_beat4-2_rvb1_off0,p,p,p-p,TaikoDrum,0,flat,flat,1,63,0,0,4,1,2,60,4,10,train
flat_p-p_MelodicTom_beat4-2_rvb1_off0,p,p,p-p,MelodicTom,0,flat,flat,1,63,0,0,4,1,2,60,4,4,train
flat_p-p_DSnareDrum1_beat4-2_rvb1_off0,p,p,p-p,DSnareDrum1,0,flat,flat,1,63,0,0,4,1,2,60,4,16,valid
flat_mp-mp_Agogo_beat4-2_rvb1_off0,mp,mp,mp-mp,Agogo,0,flat,flat,1,63,0,0,4,1,2,60,4,9,train
flat_mp-mp_Woodblock_beat4-2_rvb1_off0,mp,mp,mp-mp,Woodblock,0,flat,flat,1,63,0,0,4,1,2,60,4,17,valid
flat_mp-mp_TaikoDrum_beat4-2_rvb1_off0,mp,mp,mp-mp,TaikoDrum,0,flat,flat,1,63,0,0,4,1,2,60,4,2,train
flat_mp-mp_MelodicTom_beat4-2_rvb1_off0,mp,mp,mp-mp,MelodicTom,0,flat,flat,1,63,0,0,4,1,2,60,4,12,train
flat_mp-mp_DSnareDrum1_beat4-2_rvb1_off0,mp,mp,mp-mp,DSnareDrum1,0,flat,flat,1,63,0,0,4,1,2,60,4,2,train
flat_mf-mf_Agogo_beat4-2_rvb1_off0,mf,mf,mf-mf,Agogo,0,flat,flat,1,63,0,0,4,1,2,60,4,8,train
flat_mf-mf_Woodblock_beat4-2_rvb1_off0,mf,mf,mf-mf,Woodblock,0,flat,flat,1,63,0,0,4,1,2,60,4,5,train
flat_mf-mf_TaikoDrum_beat4-2_rvb1_off0,mf,mf,mf-mf,TaikoDrum,0,flat,flat,1,63,0,0,4,1,2,60,4,19,test
flat_mf-mf_MelodicTom_beat4-2_rvb1_off0,mf,mf,mf-mf,MelodicTom,0,flat,flat,1,63,0,0,4,1,2,60,4,2,train
flat_mf-mf_DSnareDrum1_beat4-2_rvb1_off0,mf,mf,mf-mf,DSnareDrum1,0,flat,flat,1,63,0,0,4,1,2,60,4,19,test
flat_f-f_Agogo_beat4-2_rvb1_off0,f,f,f-f,Agogo,0,flat,flat,1,63,0,0,4,1,2,60,4,6,train
